year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,bau__dice__prob50
2020,2,102.50949991541677,102.50949991541678,102.50949991541678,72.85250334745857,41.65685755084413,36.25666448938654,1.1524603511400309,0.0,0.0,0.0,bau__dice__prob50
2025,3,123.68729120205319,123.68729120205319,123.68729120205319,87.45866806595905,44.07608213142622,38.89477639882165,1.279686888206709,0.0,0.0,0.0,bau__dice__prob50
2030,4,144.8464290785998,144.8464290785998,144.8464290785998,102.11564494709599,46.12925286575393,41.16683446200241,1.4200580358683998,0.0,0.0,0.0,bau__dice__prob50
2035,5,166.8422494836427,166.8422494836427,166.8422494836427,117.5805476899878,48.01016513995805,43.430407113381875,1.5648919270774435,0.0,0.0,0.0,bau__dice__prob50
2040,6,188.9233038729007,188.9233038729007,188.9233038729007,133.38116274042906,49.84473469473648,45.64763704533564,1.7119512489961777,0.0,0.0,0.0,bau__dice__prob50
2045,7,212.08061326856122,212.08061326856122,212.08061326856122,150.09936885085665,52.01592176063873,48.2713633189956,1.8607767390169454,0.0,0.0,0.0,bau__dice__prob50
2050,8,236.33737741108354,236.33737741108354,236.33737741108354,167.76782979527385,54.27886557342515,50.98684633953967,2.0113592624914087,0.0,0.0,0.0,bau__dice__prob50
2055,9,261.78172618103474,261.78172618103474,261.78172618103474,186.48672314441976,56.442763119859684,53.55016551449937,2.1647367341492303,0.0,0.0,0.0,bau__dice__prob50
2060,10,288.939747710391,288.939747710391,288.939747710391,206.5808384820383,58.26899277409549,55.77581679726036,2.3210819927326125,0.0,0.0,0.0,bau__dice__prob50
2065,11,317.75253905444123,317.75253905444123,317.75253905444123,228.0203715270476,59.84988125643107,57.766326430126284,2.4796959900680595,0.0,0.0,0.0,bau__dice__prob50
2070,12,347.1840313924577,347.1840313924577,347.1840313924577,250.10011819780365,61.187184560441196,59.51325088466675,2.6390850828711963,0.0,0.0,0.0,bau__dice__prob50
2075,13,377.12959241330714,377.12959241330714,377.12959241330714,272.7419976976657,62.28969516274803,61.006709872388704,2.798058880620408,0.0,0.0,0.0,bau__dice__prob50
2080,14,407.4571494400947,407.4571494400947,407.4571494400947,295.81717132520055,62.12451012764277,61.23247322269859,2.955668358698575,0.0,0.0,0.0,bau__dice__prob50
2085,15,438.33215224349726,438.33215224349726,438.33215224349726,319.4198416434688,60.17507549353069,59.59473683069078,3.111169804681496,0.0,0.0,0.0,bau__dice__prob50
