year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cba__kalkuhl__prob25
2020,2,101.99762652028164,102.50949991541678,102.50949991541678,72.5067365143209,20.48449440127496,15.084301339817348,1.1524603511400309,0.17659678102268456,0.5118733951351524,0.0,cba__kalkuhl__prob25
2025,3,122.59358109812537,123.6002609391425,123.30693543110692,86.71307507993627,12.74634479014369,14.484677051915373,1.279686888206709,0.18937528854854693,0.7077102808119098,0.29332550803557544,cba__kalkuhl__prob25
2030,4,143.1716747613388,144.6061630415325,144.09132902783062,100.96876939361461,14.397448209370282,16.270990942146646,1.3383998966548385,0.1867003006952097,0.9130306779484949,0.5148340137018174,cba__kalkuhl__prob25
2035,5,164.57784186595748,166.4167665788035,165.7698726239758,116.02606800428228,14.068120554829905,16.337294320377392,1.3508381153645206,0.19502749614920498,1.1832231412617737,0.6468939548277233,cba__kalkuhl__prob25
2040,6,185.97426377548362,188.30206849357688,187.50464389689563,131.34764695451145,12.768838493731002,15.443924335289427,1.3636877328723118,0.20878400541598757,1.5184837110338114,0.7974245966812266,cba__kalkuhl__prob25
2045,7,208.26116706819036,211.2422139732207,210.2570192036556,147.45235819897798,10.73847395215601,13.809326979524165,1.3801191556798678,0.2264364892008611,1.9659444519815144,0.985194769565017,cba__kalkuhl__prob25
2050,8,231.4673449775218,235.24237817365488,234.04347345619195,164.3753417857438,7.404050993518728,11.14063470823801,1.3961800418897812,0.24840638335521456,2.560949982035977,1.1989047174630187,cba__kalkuhl__prob25
2055,9,255.74227576578298,260.3819997940603,258.96482035753223,182.25771328757125,4.620465512083091,8.770527156918282,1.4075963288874904,0.2651047426528566,3.206473026264507,1.41717943652799,cba__kalkuhl__prob25
2060,10,281.71062777982047,287.1877891367654,285.59242007664926,201.49681372610786,3.1927556973564495,7.1279958046537875,1.4081182387622853,0.27650221103648687,3.8362681491780206,1.5953690601161725,cba__kalkuhl__prob25
2065,11,309.471598815474,315.620267624992,313.90272591671487,222.1808188541736,1.769580705371712,6.612887764450695,1.398673869319262,0.2823860437033584,4.401807580926136,1.7175417082770106,cba__kalkuhl__prob25
2070,12,337.9420138985992,344.68678964117186,342.88652738376504,243.56517522172388,1.5928578087082625,6.70172014920891,1.3849930551216654,0.2851081833196703,4.919801176691044,1.8002622574068496,cba__kalkuhl__prob25
2075,13,366.83486498268127,374.29340588764575,372.4518372576267,265.44468081435826,0.136844115536706,5.605412938229266,1.368156167758457,0.2937646751151409,5.580110536145931,1.8415686300189866,cba__kalkuhl__prob25
2080,14,396.22357995373704,404.2857788287643,402.40818549715436,287.8325996579478,-1.236292302245381,4.6185781944926,1.353096175428324,0.3012168559366862,6.140276660684344,1.8775933316098488,cba__kalkuhl__prob25
2085,15,426.4359787289382,434.8434414046412,432.9788538582272,310.93796206445614,-2.604369692825215,3.578554052093485,1.3352000642848374,0.3091012291352792,6.489211035576664,1.8645875464141461,cba__kalkuhl__prob25
2090,16,457.8144690765376,466.2901099780857,464.506823893515,334.98396839930217,-3.6837256010718686,2.8295004788554095,1.313423201230929,0.3152932761783101,6.628712588565578,1.7832860845707748,cba__kalkuhl__prob25
2095,17,490.3412873053732,498.73373437021354,497.1165365992619,359.9465915396594,-4.740616941272874,2.0530008057938915,1.2873853259098658,0.3206730300642523,6.701058340228738,1.6171977709517154,cba__kalkuhl__prob25
2100,18,523.7123778309925,531.9949579149203,530.6302756514511,385.6150629525801,-5.724816283800535,1.339266934109695,1.2580662165649967,0.3239047205871572,6.833257205139741,1.3646822634691131,cba__kalkuhl__prob25
2105,19,559.6607377149128,567.1715123839682,566.1541286661981,413.2290749118194,-6.116572782144692,0.535465671956747,1.2255988080208138,0.3257109375119835,6.282190960915363,1.017383717770072,cba__kalkuhl__prob25
2110,20,597.7254434377874,604.2466544941578,603.6845792605968,442.4573413635736,-6.455726321884139,0.22993086134846874,1.1901128073093954,0.3259505666714329,5.724711856963683,0.5620752335609811,cba__kalkuhl__prob25
2115,21,637.559901621633,643.0685607472387,643.0468286544766,473.03693868009816,-6.714012917981997,0.002853144055978033,1.1540046960542039,0.3254217454432002,5.228014208607431,0.02173209276204095,cba__kalkuhl__prob25
2120,22,679.0136731201969,683.4034085695538,684.005688655649,504.8506687226069,-6.74424957055797,0.0028954547305793388,1.117801646446631,0.32440860215053763,4.707684455868093,-0.6022800860953573,cba__kalkuhl__prob25
2125,23,721.7099543292143,724.9792032358692,726.2903422947886,537.6005342808099,-6.776482986128893,0.0026287986904928217,1.0817100177345786,0.32440860215053763,4.264437129800677,-1.3111390589194434,cba__kalkuhl__prob25
2130,24,765.30556438583,767.4466076664227,769.5378668498804,571.015988222075,-6.805899281089763,0.00240759894929014,1.0465658386333558,0.32440860215053763,3.888665739758456,-2.091259183457848,cba__kalkuhl__prob25
2135,25,809.4013471070034,810.401164273174,813.3424710020021,604.7831612442247,-6.831977961558721,0.002223369360177226,1.012336973222889,0.32440860215053763,3.5710885932663725,-2.9413067288279136,cba__kalkuhl__prob25
2140,26,853.5436543322754,853.3834297239871,857.2447443818672,638.5468410524544,-6.857820418160775,0.002069478298901291,0.978841627315456,0.32440860215053763,3.3030039120714774,-3.8613146578797557,cba__kalkuhl__prob25
2145,27,897.2257629610654,895.8825422588794,900.7322359602936,671.9121399232345,-6.882711852842247,0.0019407188027650646,0.945909024998989,0.32440860215053763,3.076499214285212,-4.849693701414421,cba__kalkuhl__prob25
2150,28,939.9114969094373,937.3426425774396,943.2454224476372,704.4619958080328,-6.90083201584604,0.0018329841346693815,0.9133895862680242,0.32440860215053763,2.8845728370301034,-5.902779870198746,cba__kalkuhl__prob25
2155,29,980.9938294285986,977.1748093816371,984.1891752501539,735.727895398625,-6.920619498232545,0.001743023463933279,0.8811649575211239,0.32440860215053763,2.72116887826007,-7.014365868518126,cba__kalkuhl__prob25
2160,30,1019.8617927413255,1014.7641150696307,1022.9390335272127,765.2398893673932,-6.93736388776493,0.0016682571740176111,0.8491674988768869,0.32440860215053763,2.5811453133323714,-8.174918457583384,cba__kalkuhl__prob25
2165,31,1055.8926110747338,1049.4891688585988,1058.8624414634608,792.5211440349702,-6.948054267523347,0.0016066367138098995,0.8173117397579122,0.32440860215053763,2.4601996413089915,-9.373272604865505,cba__kalkuhl__prob25
2170,32,1088.4513760126247,1080.73884905499,1091.3344307396324,817.0894036985782,-6.961054098443999,0.0015565385938805432,0.7855392399325528,0.32440860215053763,2.354773399699477,-10.595581684647103,cba__kalkuhl__prob25
2175,33,1116.9550609430657,1107.9285338605207,1119.7539215275754,838.5036930845923,-6.9672027635997145,0.0015166833982615323,0.7538194539056692,0.32440860215053763,2.2619511020816194,-11.82538766705815,cba__kalkuhl__prob25
2180,34,1140.845813043434,1130.5238880445972,1143.569531743467,856.3453603678761,-6.972401630395299,0.0014860743479877306,0.7220924778506981,0.32440860215053763,2.1793633910916697,-13.045643698872103,cba__kalkuhl__prob25
