year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cea_tatm_2.0__dice__prob50
2020,2,102.46068874225995,102.50949991541678,102.50949991541678,72.82000367655671,35.582365503561725,30.182172442104115,1.1524603511400309,0.054888602460955255,0.04881117315686551,0.0,cea_tatm_2.0__dice__prob50
2025,3,123.58784788787932,123.67887099144781,123.67887099144781,87.39272279614495,28.847445819351094,30.46464460128948,1.279686888206709,0.07007036070174437,0.09023849442513097,0.09025225274708257,cea_tatm_2.0__dice__prob50
2030,4,144.6817298748681,144.8242979034443,144.8242979034443,102.00623702667322,29.419589387529616,31.19010747759215,1.3969094936360529,0.07616250693780025,0.14216250981470244,0.2126848405711158,cea_tatm_2.0__dice__prob50
2035,5,166.57856339041726,166.80179713675767,166.80179713675767,117.40447521409952,28.986686175547497,31.147950403950517,1.4815860300759371,0.08834421363520681,0.22254564381657732,0.3405730453961794,cea_tatm_2.0__dice__prob50
2040,6,188.51809494873015,188.85745427273184,188.85745427273184,133.1084559878645,27.911017171637027,30.468525218793424,1.5605953947650835,0.104069462876935,0.33816784893901963,0.49223820073408037,cea_tatm_2.0__dice__prob50
2045,7,211.46180522599718,211.97879423080767,211.97879423080767,149.67938662840683,26.52892500504433,29.381602636448065,1.6376102284230394,0.12267014472575863,0.5091779741845234,0.6750102890553711,cea_tatm_2.0__dice__prob50
2050,8,235.41876081600998,236.1829615420943,236.1829615420943,167.13960243692566,23.849976420184223,27.501758396536708,1.7113689600331687,0.14429766073756262,0.7597192527226502,0.8888143471781834,cea_tatm_2.0__dice__prob50
2055,9,260.45961493166425,261.5530140933846,261.5530140933846,185.57557637229823,21.32472302223306,25.407617404639073,1.780689306379117,0.16441991690415736,1.0875928202543492,1.1325030012400485,cea_tatm_2.0__dice__prob50
2060,10,287.0979532781193,288.6085805780911,288.6085805780911,205.30317502745797,19.320117922716644,23.11946669521244,1.841004250394973,0.18338270608095653,1.4928278873983345,1.3970746057131922,cea_tatm_2.0__dice__prob50
2065,11,315.30139354321125,317.28582307396755,317.28582307396755,226.3134251446479,16.217368966422992,20.993801395594673,1.8923589636592688,0.20054595873226666,1.9709275255098107,1.6780059377771783,cea_tatm_2.0__dice__prob50
2070,12,344.01182703225606,346.5521384204742,346.5521384204742,247.88340059744087,14.025378800152476,19.09126410760503,1.937014689287918,0.2157107634627315,2.5277696608790388,1.9711110093448987,cea_tatm_2.0__dice__prob50
2075,13,372.9834827150538,376.3009794351775,376.3009794351775,269.83560371486186,10.671357267527233,16.09124393768575,1.9719037183724497,0.23539156326178579,3.296665838249217,2.2600172164881074,cea_tatm_2.0__dice__prob50
2080,14,402.16523226707614,406.37855476669694,406.37855476669694,292.09569232473075,6.992358916966105,12.804901533882688,1.9997306419583687,0.2547593583851586,4.185124541247262,2.545355951301891,cea_tatm_2.0__dice__prob50
2085,15,431.8370003340658,436.9489686008807,436.9489686008807,314.8364299059867,3.1940454041815576,9.34479271549978,2.017227975701937,0.2733576388660884,5.072371551854311,2.8083960921747058,cea_tatm_2.0__dice__prob50
2090,16,462.7240265582122,468.32077440231245,468.32077440231245,338.55082631482395,0.6685007088188102,7.152304678447014,2.022692835934953,0.2852506264760085,5.547430505881734,3.0341187485370353,cea_tatm_2.0__dice__prob50
2095,17,497.08058351698276,500.64692317147575,500.64692317147575,364.8253363139819,4.69272801723839,11.383873026346329,2.0154959555994543,0.25846666607005403,3.536880268889561,3.209654009804242,cea_tatm_2.0__dice__prob50
2100,18,530.4321704346883,534.0923505897105,534.0923505897105,390.49769342483523,3.0867336567296912,10.041298399603708,2.0,0.2658003215494497,3.6268679256252305,3.3466335338832205,cea_tatm_2.0__dice__prob50
2105,19,566.0851593327343,569.3721276087069,569.3721276087069,417.9135959546113,2.6596207023999487,9.030275899120438,2.0,0.26835754522557653,3.208435429599965,3.5676973343838876,cea_tatm_2.0__dice__prob50
2110,20,603.5511550534677,606.4627437519327,606.4627437519327,446.7173198709132,2.2771239055214756,8.624165751736045,2.0,0.2688646475923613,2.8402476977463555,3.8001078896750387,cea_tatm_2.0__dice__prob50
2115,21,642.6099575667748,645.2044467439829,645.2044467439829,476.737232353165,1.9353236426912643,8.258832251659781,2.0,0.26945837949919665,2.5298167517082777,4.042864188749127,cea_tatm_2.0__dice__prob50
2120,22,683.0492169080761,685.3768160123067,685.3768160123067,507.8040263740678,1.6305105536669149,7.9309255019923315,2.0,0.27007456002412744,2.2690127032655183,4.294585071814519,cea_tatm_2.0__dice__prob50
2125,23,724.6019853930557,726.7058117008714,726.7058117008714,539.7058067424459,1.359225596379563,7.63742743245236,2.0,0.2707252469056805,2.0506875532470734,4.553553399558493,cea_tatm_2.0__dice__prob50
2130,24,766.9429464993987,768.8597802913932,768.8597802913932,572.185594309336,1.1182732951309329,7.37553430050807,2.0,0.27139196613362326,1.868485426663974,4.817691024288628,cea_tatm_2.0__dice__prob50
2135,25,809.6870348659959,811.4479675593004,811.4479675593004,604.9406664756419,0.9047197432773662,7.142453599155304,2.0,0.2720481430769144,1.7167608564599843,5.084549472084607,cea_tatm_2.0__dice__prob50
2140,26,852.3906828821705,854.0217401514187,854.0217401514187,637.6239293816459,0.7158822651936994,6.93561781821071,2.0,0.27267030564592193,1.5904979410078224,5.351317597228856,cea_tatm_2.0__dice__prob50
2145,27,894.5559432342704,896.0787059607779,896.0787059607779,669.8475098337296,0.5493148353537217,6.75269058019221,2.0,0.27326164210488363,1.48529335090444,5.614847400558888,cea_tatm_2.0__dice__prob50
2150,28,935.6376512170004,937.0698575339204,937.0698575339204,701.1886726873133,0.4027916621913501,6.591225350492077,2.0,0.273821617190423,1.397397741522391,5.871698790202834,cea_tatm_2.0__dice__prob50
2155,29,975.053680746489,976.4097491740911,976.4097491740911,731.1980904053934,0.27429032902114797,6.4490036281390095,2.0,0.27434040153066686,1.3236034370420067,6.118203351515052,cea_tatm_2.0__dice__prob50
2160,30,1012.1979373996307,1013.489565390214,1013.489565390214,759.4101559157384,0.16197527585473345,6.3242452186979525,2.0,0.2756975972288862,1.2611744104519695,6.350546234243271,cea_tatm_2.0__dice__prob50
2165,31,1046.4547962357506,1047.6927361301618,1047.6927361301618,785.3542315173486,0.06418204327745217,6.21452690628316,2.0,0.27963432932868504,1.2093264766516507,6.5648639978979215,cea_tatm_2.0__dice__prob50
2170,32,1077.2234006822296,1078.4124614105874,1078.4124614105874,808.5740554429232,-0.020597515202858546,6.119956474376423,2.0,0.276877102239054,1.1618970401131596,6.7573544214391665,cea_tatm_2.0__dice__prob50
2175,33,1103.9239922562633,1105.0714932276346,1105.0714932276346,828.6315104164179,-0.09372897158674191,6.037277425061102,2.0,0.27910574930558185,1.1216971471076913,6.924400457131833,cea_tatm_2.0__dice__prob50
2180,34,1126.0286613643786,1127.140566185844,1127.140566185844,845.1312753694951,-0.15644800395051073,5.96514854129612,2.0,0.28087947858005047,1.08739028571394,7.062685717241088,cea_tatm_2.0__dice__prob50
2185,35,1143.0753389308875,1144.1583044507222,1144.1583044507222,857.730599033882,-0.20987205077246848,5.8998884461844225,2.0,0.2853008622703279,1.0600014970351186,7.169319211402173,cea_tatm_2.0__dice__prob50
2190,36,1154.6944134976643,1155.748749957999,1155.748749957999,866.1605068513468,-0.2550109879797449,5.850030814408904,2.0,0.27901523277662976,1.031971898779742,7.241945178736228,cea_tatm_2.0__dice__prob50
2195,37,1160.6018650739843,1161.6375819021862,1161.6375819021862,870.2195641512295,-0.29277690616985613,5.813485464893081,2.0,0.27126776322298296,1.0132008178437015,7.27884471949554,cea_tatm_2.0__dice__prob50
2200,38,1160.661989611351,1161.662249391936,1161.662249391936,869.8175036740967,-0.32399304252264605,5.773379277221753,2.0,0.27206645959937253,0.9788411034706712,7.27899928648812,cea_tatm_2.0__dice__prob50
2205,39,1160.707013975377,1161.6840535734025,1161.6840535734025,869.4038853382038,-0.34940186913346954,5.7373190454880625,2.0,0.272230209592497,0.9568176128636772,7.279135911932755,cea_tatm_2.0__dice__prob50
2210,40,1160.7379607604128,1161.7023653611425,1161.7023653611425,868.9807026175312,-0.3696726128957433,5.716587710330503,2.0,0.25513667025726794,0.9442992495604206,7.279250653967256,cea_tatm_2.0__dice__prob50
2215,41,1160.778131500762,1161.7169522535492,1161.7169522535492,868.5640420995423,-0.385408055499819,5.696292949933032,2.0,0.25578367119852696,0.9192383020214296,7.27934205573182,cea_tatm_2.0__dice__prob50
2220,42,1160.8132439866745,1161.730489519239,1161.730489519239,868.142918710389,-0.3971504071366978,5.667780479844559,2.0,0.26987771113947334,0.8994662949382234,7.279426880514017,cea_tatm_2.0__dice__prob50
2225,43,1160.8508159120477,1161.7427639440682,1161.7427639440682,867.7247899412922,-0.40538746506717516,5.650438260529381,2.0,0.2794024582950822,0.8751245099876415,7.279503792309698,cea_tatm_2.0__dice__prob50
2230,44,1160.8862935023633,1161.7546587584022,1161.7546587584022,867.3043207096227,-0.41055701392294375,5.6415031801472315,2.0,0.28236895744956686,0.8518476678070055,7.279578325458292,cea_tatm_2.0__dice__prob50
2235,45,1160.9183730915486,1161.7660207566105,1161.7660207566105,866.8817817900879,-0.4130522290442302,5.630680944398461,2.0,0.28484215042621025,0.8320231235101109,7.279649519970203,cea_tatm_2.0__dice__prob50
2240,46,1160.9450344135284,1161.7766820556083,1161.7766820556083,866.4550713568651,-0.4132253664340603,5.62364319288915,2.0,0.28935536213183316,0.8166593288485393,7.279716323886604,cea_tatm_2.0__dice__prob50
2245,47,1160.9792621684426,1161.7862516227924,1161.7862516227924,866.0343285412805,-0.4113919669441105,5.615798613956925,2.0,0.2824619328760711,0.7928801016108982,7.279776286989257,cea_tatm_2.0__dice__prob50
2250,48,1161.0036159188114,1161.796130399074,1161.796130399074,865.6059795494469,-0.4078341048455026,5.62399728412978,2.0,0.26946803053333773,0.7779445558778498,7.2798381876024045,cea_tatm_2.0__dice__prob50
2255,49,1161.0061855941965,1161.8049505669112,1161.8049505669112,865.1617172915786,-0.4028037685000488,5.609531157460112,2.0,0.24839842976898155,0.7857587712358336,7.279893454953501,cea_tatm_2.0__dice__prob50
2260,50,1161.0397088434752,1161.8104925563969,1161.8104925563969,864.7403685214674,-0.4292059663701865,5.570514886201466,2.0,0.25514416431002457,0.7588455152430299,7.279928181172361,cea_tatm_2.0__dice__prob50
2265,51,1161.095298697251,1161.8178937444252,1161.8178937444252,864.3350083727987,-0.35077244401230845,5.652861262103014,2.0,0.27393102960035454,0.7104280784567962,7.279974557167105,cea_tatm_2.0__dice__prob50
2270,52,1161.0860756967677,1161.8290746581329,1161.8290746581329,863.8819290239699,-0.3885491179490273,5.5936225081828335,1.9998812235512347,0.26186790580329045,0.7323695967854472,7.278758227639183,cea_tatm_2.0__dice__prob50
2275,53,1161.1085346756533,1161.834562669004,1161.834562669004,863.4521580499598,-0.37160942671484515,5.6254083946931255,2.0,0.2445962054133033,0.7142940100083943,7.28007900498762,cea_tatm_2.0__dice__prob50
2280,54,1161.0496136542174,1161.8405577131316,1161.8405577131316,862.9619408036938,-0.8262909219798982,5.191592684210024,2.0,0.21808911700777608,0.7776157724391016,7.2801165700560775,cea_tatm_2.0__dice__prob50
2285,55,1160.9806021230631,1161.8368405828514,1161.8368405828514,862.4643104053397,-2.2182199366063378,3.8253188422821895,2.0,0.2497915872476104,0.8405912081042817,7.280093278442126,cea_tatm_2.0__dice__prob50
2290,56,1161.3431575408986,1161.8261640446174,1161.8261640446174,862.2866667019814,2.387937661347711,8.42661683744239,1.9983106852053092,0.2234857563591482,0.4675674976714918,7.261737485211637,cea_tatm_2.0__dice__prob50
2295,57,1161.669739215766,1161.864434184739,1161.864434184739,862.0824085987056,14.506458134073043,14.744340209904761,1.9912070726068734,0.16681908969248155,0.1946949689843543,7.185231693581323,cea_tatm_2.0__dice__prob50
2300,58,1162.4098287601041,1162.484094769004,1162.484094769004,862.1847736498785,20.830765354819544,21.068647430651257,2.0,0.11015242302581486,0.0742660089060118,7.284148986339706,cea_tatm_2.0__dice__prob50
